,구,GDP,평균가격
0,종로구,337806,13400
1,중구,538232,19450
2,용산구,126955,20300
3,성동구,121678,11700
4,광진구,65871,12300
5,동대문구,75555,10000
6,중랑구,47417,8300
7,성북구,61419,11000
8,강북구,32836,6000
9,도봉구,34049,8000
10,노원구,66207,15800
11,은평구,49197,11500
12,서대문구,86522,12400
13,마포구,199431,14700
14,양천구,71253,15000
15,강서구,174589,12600
16,구로구,140902,15000
17,금천구,176146,15000
18,영등포구,360955,14400
19,동작구,65271,13000
20,관악구,59638,8300
21,서초구,355703,16800
22,강남구,718527,26000
23,송파구,299625,15600
24,강동구,93487,11000
